재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월 	당기 3분기 누적 	전기 3분기 3개월 	전기 3분기 누적 	전기	전전기
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_NonOperatingExpense	      기타영업외비용	117,456,699,000	350,298,178,000	515,731,771,000	705,105,688,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_NonOperatingIncome	      기타영업외수익	153,811,826,000	268,982,134,000	47,943,666,000	158,039,050,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	      영업이익	665,665,472,000	1,815,407,691,000	670,128,685,000	1,905,261,684,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비	2,619,244,605,000	7,752,706,657,000	2,501,023,737,000	7,459,706,083,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_CostOfSales	      매출원가	8,143,589,903,000	23,579,853,234,000	7,673,999,015,000	22,598,960,369,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주기본주당순이익	4,294	11,280	-5,028	2,665		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	dart_DilutedEarningsLossPerSharePreferredStock	         우선주희석주당순이익	4,294	11,280	-5,028	2,665		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	entity00148540_BasicEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주주당순이익	4,281	11,243	-5,041	2,628		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	entity00148540_DilutedEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주희석주당순이익	4,281	11,243	-5,041	2,628		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본주당순이익	4,281	11,243	-5,041	2,628		
